Rank,Title,Author,Price
1,It Starts with Us: A Novel (2) (It Ends with Us),Colleen Hoover,$12.99 
2,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson, 25th Anniversary Edition",Mitch Albom,$7.51 
3,Verity,Colleen Hoover,$11.26 
4,I'm Glad My Mom Died,Jennette McCurdy,$18.84 
5,It Ends with Us: A Novel (1),Colleen Hoover,$9.99 
6,"Come On, Man!: The Truth About Joe Biden's Terrible, Horrible, No-Good, Very Bad Presidency",Joe Concha,$28.99 
7,Starry Messenger: Cosmic Perspectives on Civilization,Neil deGrasse Tyson,$18.68 
8,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,$11.98 
9,Fairy Tale,Stephen King,$19.92 
10,Where the Crawdads Sing,Delia Owens,$9.98 
11,I'm So Glad You Were Born: Celebrating Who You Are,Ainsley Earhardt,$14.99 
12,Ugly Love: A Novel,Colleen Hoover,$10.40 
13,Reminders of Him: A Novel,Colleen Hoover,$9.57 
14,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,$11.40 
15,The Simply Happy Cookbook: 100-Plus Recipes to Take the Stress Out of Cooking (The Happy Cookbook Series),Steve Doocy,$21.00 
16,The Very Hungry Caterpillar,Eric Carle,$4.93 
17,Little Blue Truck's Halloween: A Halloween Book for Kids,Alice Schertle,$6.32 
18,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,$9.42 
19,Good Inside: A Guide to Becoming the Parent You Want to Be,Dr. Becky Kennedy,$19.76 
20,November 9: A Novel,Colleen Hoover,$9.99 
21,The Breach: The Untold Story of the Investigation into January 6th,Denver Riggleman,$25.99 
22,Dreamland: A Novel,Nicholas Sparks,$19.15 
23,"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,$4.07 
24,How to Catch a Witch,Alice Walstead,$7.92 
25,"The Divider: Trump in the White House, 2017-2021",Peter Baker,$21.31 
26,The 48 Laws of Power,Robert Greene,$11.60 
27,"Harry Potter and the Order of the Phoenix: The Illustrated Edition (Harry Potter, Book 5) (Illustrated edition)",J. K. Rowling,$32.99 
28,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,$7.74 
29,The Great Reset: And the War for the World,Alex Jones,$20.50 
30,I Love You to the Moon and Back,Amelia Hepworth,$4.31 
